game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
98229,6,25,9,3,25,Pictomania,25,2011,7.37361,1924
102181,4,20,9,3,20,In a Grove,20,2011,6.37076,459
102690,5,30,9,2,30,Villagers & Villains,30,2011,6.8175,200
117960,5,45,9,2,45,Saint Malo,45,2012,6.45948,1356
125605,6,45,9,3,45,I'm the Boss!: The Card Game,45,2012,5.9878,150
129224,4,60,9,2,60,HERO versus GUARDIAN: A Game of Dungeon Craft,60,2013,6.0875,56
131060,9,20,9,3,20,Ready to Rock!,20,2012,6.34442,95
131246,4,20,9,2,20,Siberia: The Card Game,20,2012,6.82342,298
131357,6,15,9,2,15,Coup,15,2012,7.12316,20679
136587,5,30,9,2,30,Ninja Dice,30,2013,6.08429,654
139236,5,120,9,3,120,California Gold,120,2015,6.72622,74
140940,5,45,9,2,45,In the City: Origins,45,2013,5.95709,55
142325,6,15,9,3,15,Kobayakawa,15,2013,6.38689,1098
142687,2,20,9,2,15,oddball Äeronauts,20,2014,6.03621,531
144709,6,30,9,2,30,Sukimono,30,2012,6.68235,119
145496,6,45,9,3,45,Privateer,45,2016,6.61833,60
145645,2,30,9,2,30,Le Fantôme de l'Opéra,30,2013,7.12832,809
146290,8,20,9,2,20,Malacca,20,2013,6.36164,73
148424,6,40,9,3,40,30 Carats,40,2013,6.07781,96
149324,10,90,9,4,30,Escape from Sunset Island:  Zombie Apocalypse Simulator,90,2013,6.46364,55
151022,4,45,9,1,45,Baseball Highlights: 2045,45,2015,7.71077,1909
154597,2,20,9,2,20,Hive Pocket,20,2010,7.67185,3173
158747,8,10,9,4,10,Knee Jerk,10,2015,6.17545,55
158889,4,45,9,2,45,Summoner Wars: Alliances Master Set,45,2015,8.33896,935
158900,7,30,9,1,30,Samurai Spirit,30,2014,6.83494,2647
159581,6,20,9,2,20,maskmen,20,2014,6.38886,237
161417,4,30,9,2,5,Red7,30,2014,7.02516,6368
166260,4,120,9,1,120,Demonslayer: Siege of Mt. Kunlun,120,2014,6.49431,51
168265,4,20,9,2,20,oddball Aeronauts 2: Double the Trouble,20,2015,6.835,70
169062,6,15,9,2,15,London After Midnight,15,2015,6.08216,194
169341,7,15,9,1,15,Birds of a Feather,15,2015,6.87889,298
170922,5,30,9,2,30,Boomtown Bandits,30,2015,6.98766,77
172613,4,60,9,2,45,Pirates of the 7 Seas,60,2015,6.83276,232
176458,5,20,9,3,20,Rights,20,2015,6.26624,125
177639,2,25,9,2,25,Raptor,25,2015,7.52505,2330
179820,4,90,9,2,60,Tail Feathers,90,2015,7.56216,296
183778,2,30,9,1,10,Star Patrol: Carrier Commander,30,2015,5.36176,68
186701,4,30,9,2,15,Burger Up,30,2016,7.30039,279
193121,4,60,9,2,40,Legends,60,2016,6.39679,71
193551,4,40,9,2,20,Mutant Crops,40,2016,7.646,50
200729,4,30,9,2,20,Game of Blame,30,2016,6.81286,70
206051,8,15,9,4,15,Insider,15,2016,7.27219,462
7,2,20,8,2,20,Cathedral,20,1978,6.50534,2751
32,2,30,8,2,30,Bison,30,1975,6.04137,182
44,6,60,8,3,60,David & Goliath,60,1998,6.4529,1418
75,8,5,8,4,5,Falling,5,1998,5.49601,1264
90,2,20,8,2,20,Star Wars: Episode 1 – Clash of the Lightsabers,20,1999,6.29314,531
95,6,30,8,2,30,Igel Ärgern,30,1990,6.41002,960
101,6,60,8,2,60,Detroit-Cleveland Grand Prix,60,1996,6.7734,1023
105,5,60,8,2,60,Colossal Arena,60,1997,6.79949,6292
108,2,20,8,2,20,TAMSK,20,1998,6.78007,1234
